Speaker Name,Title,Company,Type,Why This Person is Valuable for 300 Maritime (Speaking / Attending),Why Their Company is Relevant to 300 Maritime
Daniel Zamora Serrano,Head of Ports and Maritime,Acciona,Corporate,"As Head of Ports and Maritime at one of Spain's largest infrastructure multinationals, Daniel sits at the intersection of port construction, sustainability services and renewable maritime energy. He can speak authoritatively on how major infrastructure players are integrating green technology into port development — from shore power to climate-resilient quayside design. His perspective on what startups need to solve to win large-scale port contracts is directly useful to 300 Maritime founders, and his institutional relationships across Spanish port authorities make him a powerful connector for the programme.","Acciona is actively delivering port logistics, green infrastructure and sustainability services at Valenciaport and across the Mediterranean. Their work on renewable maritime energy and sustainable construction makes them a natural corporate partner for startups working on decarbonisation, green port services, and infrastructure-tech. Acciona also has the procurement budget and innovation agenda to pilot and scale solutions co-developed through 300 Maritime."
David Romero Faz,Senior Business Development Manager for Ports and Logistics,Indra Group,Corporate,"David's role spanning ports and logistics business development at Indra — Spain's leading defence and digital-technology company — means he has deep insight into how large technology integrators sell into the port ecosystem. He can offer founders a hard-nosed view on how to structure B2B deals with port operators and terminal managers, and how to navigate procurement in complex public-private maritime environments. His network across Spanish port authorities and logistics operators is a significant door-opener for 300 Maritime's startup cohort.","Indra is a major provider of port management systems, logistics digital twins and traffic-management platforms across Mediterranean ports including Valencia. Their solutions underpin how Spanish ports handle vessel scheduling, customs data and cargo operations. For 300 Maritime, Indra is both a potential data-sharing partner (offering startups live operational data) and a route-to-market for startups building complementary port-tech layers on top of existing infrastructure."
Tomás Hernández,Innovation and Digital Transformation Manager,Baleària,Corporate,"Tomás is on the front line of Baleària's push to become one of Europe's most digitally advanced ferry operators — a fleet running LNG and dual-fuel vessels across Valencia–Balearics, North Africa and the Caribbean. He can speak practically on what digital transformation looks like inside a mid-size shipping company: what works, what doesn't, and what startup solutions he's actually tried to deploy. That hands-on buyer perspective is gold for 300 Maritime founders who need to understand real procurement barriers inside shipping companies. He also represents a new generation of maritime corporate innovator — mission-driven, tech-open and results-oriented.","Baleària is the Valencia-headquartered maritime group operating passenger and ro-pax services on some of Spain's busiest routes, with a fleet pioneering LNG propulsion. This makes them a live laboratory for green propulsion, passenger experience tech, fuel optimisation, and predictive maintenance startups. They are a natural corporate pilot partner within the 300 Maritime programme and can provide real-world deployment context for cleantech founders targeting Mediterranean short-sea shipping."
José Antonio Pérez,CTO,Bergé Marítima,Corporate,"As CTO of Bergé Marítima — one of Spain's oldest and largest port logistics and shipping agency groups — José Antonio brings deep technical authority on how legacy maritime companies are modernising their technology stacks. He can speak on API integration challenges, real-time cargo visibility, and how port agency operations are being reshaped by automation. For 300 Maritime founders, his insight on what a mid-to-large maritime corporate actually needs from a startup (versus what startups think they need) is one of the most practical sessions you can put on stage. His technical credibility also helps 300 Maritime signal that the programme engages seriously with enterprise-grade technology.","Bergé Marítima is a multi-service maritime company operating across port agencies, shipping, forwarding and logistics in Spain. As a company managing large volumes of port calls, documentation flows and cargo coordination daily, they are a direct addressable market for startups in port-agency automation, document digitisation, and supply chain visibility. Their scale and footprint across Spanish ports makes them an ideal first enterprise customer reference for programme startups."
Javier Romeu,CEO,TIBA Group,Corporate,"As CEO of TIBA Group — a major Spanish freight forwarding and logistics company — Javier brings a top-table executive view on global supply chain complexity and how digital transformation is reshaping freight. He can speak on the strategic decisions that logistics CEOs face when evaluating new technology: make vs. buy, piloting vs. scaling, and managing regulatory change. For 300 Maritime, having a logistics group CEO on stage adds credibility with the corporate audience and signals that the programme attracts decision-makers, not just middle managers.","TIBA Group is a leading Spanish international freight forwarder and logistics provider with operations across Europe, Africa and the Americas. Their business touches maritime, air, road and customs brokerage — making them a broad deployment partner for 300 Maritime startups working on freight visibility, documentation, customs AI and supply chain digitisation. TIBA's global footprint also gives programme startups access to international expansion conversations early."
Marcos Sánchez Caro,"Port Operations, Terminals & Projects Professional",Ership Group,Corporate,"Marcos brings a specialist operational lens on how terminal and port projects are designed, managed and optimised — a perspective that is rare on innovation programme stages, which tend to over-index on strategy and technology sales. His hands-on experience at Ership Group means he can bridge the gap between what startup tech promises and what port operators actually need on the ground. He's an ideal panellist for sessions on port operations innovation, and his practitioner credibility resonates strongly with technical founders who want validation from people who run terminals, not just fund them.","Ership Group is a 140-year-old family-owned Spanish maritime company offering port agency, chartering, customs brokerage and freight forwarding across all Spanish ports including Valencia. Their longevity and breadth make them a trusted ecosystem connector. For 300 Maritime, Ership represents the mainstream of Spain's port industry — not a tech pioneer, but a critical route-to-market for startups that need their product embedded in everyday port agency workflows."
Jorge Cebrian Gimenez,Head of Maritime Operations,Endesa,Corporate,"Jorge leads maritime operations at Endesa — Spain's largest electricity company — which means he oversees the fuel and logistics supply chain that keeps Spain's power stations running, including coal and LNG bulk vessel management. His perspective on how a major energy utility uses maritime transport differently from a shipping company opens up new use cases for 300 Maritime startups: bulk cargo optimisation, energy commodity tracking, and maritime risk management for critical infrastructure. This cross-sector angle adds richness to the programme and broadens the commercial horizon for founders.","Endesa is Spain's dominant electricity producer and a significant maritime freight customer, importing coal, gas and oil via Spanish ports including Valencia. Their maritime operations create demand for advanced bulk cargo management, vessel tracking, port scheduling and commodity risk platforms. For 300 Maritime, Endesa represents the energy-sector corporate buyer segment — a multi-billion-euro customer base that maritime startups often overlook but which offers large contracts and strategic long-term relationships."
Samir Fernandez,Director Marine Fuels & Heavy Products Trading,Moeve,Corporate,"Samir operates at one of the most commercially critical intersections in maritime today: marine fuels trading, where the shift from HFO to LNG, methanol and ammonia is creating enormous pressure on supply chains, pricing and compliance. He can speak with real authority on how fuel transition is actually playing out in trading rooms — not just in press releases — and what technology solutions are genuinely needed versus overhyped. For 300 Maritime, his presence signals that the programme engages with the serious commercial side of decarbonisation, not just the deep-tech story.","Moeve (formerly Cepsa) is a major Spanish energy company with significant marine fuels operations, supplying bunker fuel and heavy products to vessels across the Mediterranean. Their transition toward low-carbon marine fuels positions them as a critical infrastructure partner for 300 Maritime startups working on alternative bunkering, fuel monitoring, and emissions compliance. Moeve's commercial scale and trading expertise make them a powerful corporate partner for validating and scaling startup solutions in the marine energy transition."
Silvia Pérez Díaz,Open Innovation Hub — Repsol TechLab,Repsol,Corporate,"Silvia leads open innovation at Repsol's TechLab — a role designed specifically to identify, pilot and integrate external startup technologies into Repsol's industrial operations, including maritime. She is a natural champion and advocate for 300 Maritime startups inside one of Spain's most commercially powerful energy companies. Her expertise in structuring corporate-startup pilots (commercial terms, IP, governance) means she can also serve as a mentor figure for the programme's founders navigating their first enterprise deal. This combination of strategic influence and hands-on startup collaboration experience makes her one of the most valuable corporate participants at any maritime innovation event.","Repsol is one of Spain's largest energy multinationals with extensive maritime infrastructure including refinery-connected tanker operations, LNG and offshore assets. Repsol TechLab is their dedicated startup collaboration unit, designed to fast-track pilot projects with external innovators. For 300 Maritime, Repsol is one of the programme's highest-value potential corporate sponsors and pilot partners — especially for startups in marine fuels, offshore energy, decarbonisation analytics, and environmental monitoring. The Ocean Ecostructure startup in the existing ecosystem already has a Repsol Foundation partnership."
Javier Herrador,Navantia Seanergies VP,Navantia,Corporate,"Javier holds a senior vice president position at Navantia Seanergies — the commercial marine and renewables division of Spain's national shipbuilder. He operates at the leading edge of Spanish maritime energy transition: offshore wind platforms, green hydrogen vessels, and next-generation naval and commercial ship design. His ability to speak on the entire vessel lifecycle — from design to commissioning to decarbonisation retrofit — is extraordinary for a 300 Maritime audience that spans startups, investors and corporates. His government-linked institutional relationships also make him a strong connector to Spanish public funding for maritime innovation programmes.","Navantia is Spain's state-owned shipbuilding company and a European leader in defence vessels, offshore wind platform fabrication and maritime technology. Their Seanergies division specifically targets the maritime energy transition, including offshore wind assembly vessels and hydrogen propulsion. For 300 Maritime, Navantia represents the heavy industry dimension of maritime innovation — the builders of the physical infrastructure on which startup technologies are deployed. Partnerships with Navantia could give 300 Maritime startups access to shipyard testing environments and major offshore energy contracts."
Pedro J. Schoch,"Corporate Development, Marketing & Communication Director",GMV,Corporate,"Pedro's role at GMV — a leading Spanish space, defence and technology group increasingly active in maritime digital systems — covers corporate development (M&A, partnerships) alongside communications. This makes him a uniquely well-positioned speaker: he can discuss both how large technology companies assess and acquire maritime startups, and how to position maritime innovation in the broader public and corporate consciousness. For 300 Maritime, Pedro can contribute to conversations on corporate-startup M&A, positioning the programme as a pipeline for technology acquisitions, not just pilots.","GMV is a Spanish technology company with growing capabilities in maritime monitoring, satellite-based vessel tracking, ocean surveillance and port digital systems. Their technology is used by port authorities, coast guards and maritime regulators across Europe. For 300 Maritime, GMV represents a technology partner and potential acquirer for maritime-tech startups — particularly those working on vessel tracking, maritime domain awareness, and satellite-connected port systems. Their corporate development appetite makes them a potential investor-acquirer in the programme's ecosystem."
Juan Ortí Llatas,Vice President,CSP Spain (COSCO Shipping Ports),Corporate,"As Vice President of CSP Spain — which operates the largest container terminal at the Port of Valencia — Juan sits at the apex of container terminal leadership at one of the world's most strategically significant Mediterranean hub ports. He brings a Belt-and-Road-connected perspective on global trade flows, China-Europe corridor dynamics, and terminal technology investment priorities. For 300 Maritime, he is one of the highest-value corporate speakers in the Valencia ecosystem: a decision-maker controlling one of the world's busiest terminals who can speak to the real technology needs and investment appetite of a COSCO-group operator.","CSP Spain (COSCO Shipping Ports) operates the biggest container terminal at Port of Valencia, making it the programme's most strategically critical corporate partner for container-technology startups. Their parent company COSCO is the world's largest shipping group and a Belt-and-Road infrastructure champion. For 300 Maritime startups in yard automation, blockchain documentation, container visibility and supply chain AI, CSP Spain is the highest-volume deployment partner available. Their existing relationship with Gandolapp (voice AI proof-of-concept) shows they are already open to startup pilots."
Verónica Boluda Ceballos,Chief Corporate Officer,Boluda Corporación Marítima,Corporate,"Verónica brings executive-level insight from Spain's largest private maritime group — a 200+ vessel fleet operating towage, shipping and port services across six continents. As Chief Corporate Officer, her mandate spans strategy, governance and corporate development, making her one of the most influential decision-makers in the Spanish maritime private sector. She can speak on long-term maritime business strategy, family-business transformation in a tech-driven era, and what it means to run a global maritime group from Valencia. Her presence at 300 Maritime immediately elevates the programme's corporate prestige.","Boluda Corporación Marítima is headquartered in Valencia and is Spain's largest private maritime conglomerate with global towage, shipping and port services operations. Their business creates demand for startups in vessel efficiency, predictive maintenance, decarbonisation, crew management and port logistics optimisation. As a family-owned global leader based in Valencia, Boluda is also the most symbolically important corporate endorser for 300 Maritime's claim to be the leading maritime innovation programme on the Mediterranean."
Oscar Rodriguez,Chief Commercial Officer,Noatum Maritime,Corporate,"Oscar's role as CCO at Noatum Maritime — a major port services and logistics group — gives him deep insight into commercial models for port services, how shipping lines and logistics companies structure long-term contracts, and what it takes to grow a maritime services business internationally. He can speak on the commercial architecture of port services and how digital products are changing pricing and customer relationships in the industry. For 300 Maritime, a CCO perspective is often missing from innovation events — too many speakers come from tech or operations, not from the commercial side where startup deals ultimately get signed.","Noatum Maritime is one of Spain's leading port logistics, shipping agency and terminal management groups, with significant presence at Valenciaport. Their operations span towage, port agency, freight forwarding and terminal management — touching almost every service category that maritime startups are targeting. For 300 Maritime, Noatum is both a potential enterprise customer and a channel partner: a company that could bundle startup solutions into their own service offering to shipping lines and port operators."
Maite Fibla Gasparin,Co-founder & Managing Partner,Ship2B Ventures,Investor,"Maite is a co-founder and managing partner of Ship2B Ventures — one of Spain's leading impact venture capital funds with a strong maritime and blue economy portfolio (including Ocean Ecostructure in the 300 Maritime ecosystem). She brings both deal-making authority and a deep understanding of how impact investors evaluate maritime startups: the ESG frameworks, the commercial milestones, and the sector-specific risks. For 300 Maritime, Maite is the ideal investor moderator or keynote speaker who can demystify impact investing for maritime founders and signal to the startup community that serious capital is available for blue economy ventures.","Ship2B Ventures is a Spanish impact VC fund with a strong blue economy and maritime portfolio. They have already backed Ocean Ecostructure — a BlueInvest-supported startup in the 300 Maritime ecosystem. This existing relationship makes Ship2B a natural programme investment partner, providing deal-flow sourcing and co-investment opportunities for startups that emerge from 300 Maritime. Their sector expertise in maritime sustainability and ocean innovation directly mirrors the programme's core focus."
Beatriz González,Founder & Managing Partner,Seaya Ventures,Investor,"Beatriz is founder and managing partner of Seaya Ventures — one of Spain's most prominent venture capital funds, known for backing market-transforming technology companies in Iberia and Latin America. Her track record in identifying and scaling category-defining businesses gives her unmatched credibility when speaking to maritime founders about what it takes to build a venture-scale company, not just a good product. For 300 Maritime, Beatriz represents the broader Spanish VC ecosystem and signals that the programme's startups are fundable by mainstream technology investors — not just niche maritime funds.","Seaya Ventures is one of Spain's leading VC funds, investing in high-growth technology startups across Iberia and Latin America. While not exclusively maritime-focused, Seaya's portfolio approach includes logistics, sustainability and industrial tech — areas with significant maritime overlap. For 300 Maritime, having Seaya engaged validates that the programme's startups are competitive for mainstream venture capital, not just sector-specific grants. Seaya's presence also attracts other non-maritime VCs to the programme's deal-flow events."
Pablo Perea,Head of Investments,GoHub Ventures,Investor,"Pablo leads investments at GoHub Ventures — a €90M Valencia-based VC fund backed by Global Omnium (the water and infrastructure group) with a specific focus on maritime, logistics and deep tech. This makes him one of the most directly relevant investors in the entire 300 Maritime programme: his mandate, his fund geography, and his portfolio all align perfectly with what the programme is building. He can speak on what maritime startups need to do to become investable, how to navigate Valencia's innovation ecosystem, and how GoHub evaluates deals at the intersection of maritime and infrastructure tech.","GoHub Ventures is a Valencia-based €90M VC fund backed by Global Omnium, with maritime and logistics firmly in its investment mandate. GoHub is already identified as a priority contact in the 300 Maritime ecosystem (Inés Calabuig is in the Must Meet list). This makes them the programme's closest local institutional investor partner — a fund that will actively source deals from 300 Maritime events and provide follow-on investment to programme graduates. Their infrastructure and water sector LPs also open up blue economy crossover investment opportunities."
Aquilino Peña,Co-founder & Managing Partner,Kibo Ventures,Investor,"Aquilino is a co-founder and managing partner of Kibo Ventures — one of Spain's most respected early-stage VC funds, known for backing high-growth technology companies including several notable exits. He brings the perspective of a prolific seed investor who has seen hundreds of Spanish startups from pitch to exit: what separates fundable from unfundable, how to think about market sizing in B2B sectors, and what it means to build a company with international ambition from Spain. For 300 Maritime, Aquilino's presence on stage or in deal-flow rooms signals that the programme connects maritime founders to Spain's top-tier generalist VC community — not just maritime-niche capital.","Kibo Ventures is one of Spain's leading early-stage VC funds with a track record of backing B2B software and deep-tech companies. While not exclusively maritime, their investment thesis in enterprise SaaS, industrial automation and logistics tech makes them highly relevant to the maritime software startups 300 Maritime is building. Having Kibo as a programme investor partner broadens the funding options available to 300 Maritime graduates beyond sector-specific funds, increasing both deal-flow quality and valuation outcomes for programme startups."
